REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS,IS_IMPUTED
States,Iowa,2010,51,44,10,2123,False
States,Kansas,2010,51,75,42,7741,False
States,Kentucky,2010,51,148,14,11496,False
States,Louisiana,2010,51,588,25,15367,False
States,Maine,2010,51,25,30,4170,False
States,Maryland,2010,51,174,17,6355,False
States,Massachusetts,2010,51,268,49,20513,False
States,Michigan,2010,51,74,47,10820,False
States,Minnesota,2010,51,39,15,3853,False
States,Mississippi,2010,51,1775,45,16410,False
States,Missouri,2010,51,154,32,6573,False
States,Montana,2010,51,1,6,1602,False
States,Nebraska,2010,51,62,15,2792,False
States,Nevada,2010,51,495,37,14274,False
States,New Hampshire,2010,51,10,31,4110,False
States,New Jersey,2010,51,264,25,5685,False
States,New Mexico,2010,51,232,22,6800,False
States,New York,2010,51,388,103,10082,False
States,North Carolina,2010,51,107,68,11326,False
States,North Dakota,2010,51,4,11,1451,False
States,Ohio,2010,51,72,47,12037,False
States,Oklahoma,2010,51,85,17,2076,False
States,Oregon,2010,51,43,20,2087,False
States,Pennsylvania,2010,51,214,55,10680,False
States,Rhode Island,2010,51,38,21,4446,False
States,South Carolina,2010,51,31,17,3878,False
States,South Dakota,2010,51,69,19,4544,False
States,Tennessee,2010,51,145,49,6142,False
States,Texas,2010,51,1418,81,36611,False
States,Utah,2010,51,43,15,3883,False
States,Vermont,2010,51,45,13,2963,False
States,Virginia,2010,51,1260,89,57381,False
States,Washington,2010,51,6,17,1550,False
States,West Virginia,2010,51,87,32,7272,False
States,Wisconsin,2010,51,17,46,2451,False
States,Wyoming,2010,51,62,29,3798,False
States,New York City,2010,51,3819,41,89593,False
States,Alabama,2010,52,1274,38,10927,False
States,Alaska,2010,52,21,8,1857,False
States,Arizona,2010,52,344,69,22684,False
States,Arkansas,2010,52,61,16,2367,False
States,California,2010,52,916,125,19533,False
States,Colorado,2010,52,160,10,15093,False
States,Connecticut,2010,52,13,19,1523,False
States,Delaware,2010,52,19,14,3733,False
States,District of Columbia,2010,52,101,4,1475,False
States,Florida,2010,52,702,108,21954,False
